# Workload	Elasped time K40-980-980	Speedup K40-980-980
15000	125978	8.557049644
14500	120917	8.915206299
14000	113515	9.496542307
13500	106196	10.15104147
13000	98592	10.93395002
12500	92556	11.6470029
12000	84049	12.82585159
11500	75152	14.3442623
11000	66397	16.2356733
10500	61166	17.62417029
10000	52215	20.64540841
9500	46476	23.19476719
9000	41009	26.28691263
8500	36988	29.14458743
8000	33153	32.51591108
7500	30249	35.63754174
7000	31033	34.73721522
6500	32914	32.75202042
6000	35011	30.79032304
5500	38218	28.20660422
5000	47027	22.92300168
4500	46826	23.02139837
4000	53501	20.14915609
3500	59280	18.18488529
3000	66917	16.10950879
2500	73241	14.71853197
2000	80351	13.4161367
1500	85155	12.65926839
1000	90472	11.91528871
500	98918	10.89791545
0	102984	10.46764546
