# Workload	Elasped time K40-980-980	Speedup K40-980-980
14500	120951	8.912700184
14000	113582	9.490940466
13500	106249	10.14597784
13000	98643	10.92829699
12500	92612	11.63996026
12000	84072	12.82234275
11500	75171	14.34063668
11000	66430	16.22760801
10500	61186	17.61840944
10000	52213	20.64619922
9500	46490	23.18778232
9000	40962	26.31707436
8500	36943	29.18008824
8000	33092	32.57584915
7500	30156	35.74744661
7000	28127	38.32616347
6500	26066	41.35655643
6000	24962	43.18564218
5500	22805	47.27033545
5000	20518	52.53923384
4500	20976	51.39206712
4000	22101	48.77607348
3500	23232	46.40151515
3000	24138	44.6598724
2500	25063	43.01161074
2000	26321	40.95589073
1500	27334	39.43806249
1000	28366	38.00324332
500	29373	36.70037109
