# Workload	Elasped time K40-980-980	Speedup K40-980-980
16500	95371	255.8
16000	93982	259.6
15500	102673	237.6
15000	86545	281.9
14500	93783	260.2
14000	82662	295.2
13500	82648	295.2
13000	82138	297.1
12500	75620	322.7
12000	70849	344.4
11500	66651	366.1
11000	63757	382.7
10500	61123	399.2
10000	61445	397.1
9500	65084	374.9
9000	65892	370.3
8500	70829	344.5
8000	69794	349.6
7500	81022	301.1
7000	83952	290.6
6500	92560	263.6
6000	92872	262.7
5500	92070	265.0
5000	92115	264.9
4500	95433	255.7
4000	108815	224.2
3500	108764	224.3
3000	108827	224.2
2500	122306	199.5
2000	122314	199.5
1500	122318	199.5
1000	122412	199.3
500	123519	197.5
