# Workload	Elasped time K40-980-980	Speedup K40-980-980
16500	65617	94.8
16000	64694	96.1
15500	66438	93.6
15000	60029	103.6
14500	62685	99.2
14000	57990	107.2
13500	57851	107.5
13000	68641	90.6
12500	78570	79.1
12000	79449	78.3
11500	87098	71.4
11000	94856	65.6
10500	109818	56.6
10000	125230	49.7
9500	134713	46.2
9000	140320	44.3
8500	154125	40.3
8000	159805	38.9
7500	186840	33.3
7000	196251	31.7
6500	219067	28.4
6000	220101	28.3
5500	186668	33.3
5000	189775	32.8
4500	193661	32.1
4000	221571	28.1
3500	223505	27.8
3000	225415	27.6
2500	249335	24.9
2000	255459	24.3
1500	257837	24.1
1000	259867	23.9
500	264234	23.5
