# Workload	Elasped time K40+980-K20+980	Speedup K40+980-K20+980
16500	41117	151.22847
16000	40371	154.022962
15500	39874	155.9427446
15000	39333	158.0876363
14500	42620	145.8953778
14000	51276	121.2664989
13500	59127	105.1644934
13000	66659	93.28164239
12500	80322	77.41417046
12000	81037	76.73113516
11500	94272	65.95872581
11000	94488	65.80794387
10500	105754	58.79740719
10000	107005	58.11000421
9500	119429	52.06491723
9000	121319	51.2538102
8500	123906	50.1836957
8000	128228	48.49222479
7500	142790	43.54689404
7000	143422	43.35500132
6500	149065	41.71375574
6000	161125	38.59153452
5500	161939	38.39755093
5000	162650	38.22970181
4500	166978	37.23880391
4000	188340	33.01508442
3500	191143	32.53093757
3000	193346	32.16027743
2500	211567	29.39050514
2000	219346	28.34818506
1500	222354	27.96469144
1000	225672	27.55353345
500	229567	27.08604024
