# Workload	Elasped time K40-980	Speedup K40-980
14500	27389	52.24725255
14000	26551	53.89627509
13500	25456	56.21464488
13000	24540	58.31295844
12500	23850	60
12000	22842	62.64775414
11500	21748	65.79915395
11000	21036	68.02624073
10500	19976	71.63596316
10000	19304	74.12971405
9500	18259	78.37230955
9000	17351	82.47363264
8500	16620	86.10108303
8000	15712	91.07688391
7500	14723	97.19486518
7000	13890	103.0237581
6500	14321	99.92318972
6000	15293	93.57222259
5500	16007	89.39838821
5000	16840	84.97624703
4500	17441	82.0480477
4000	18395	77.7928785
3500	19131	74.80006273
3000	20243	70.6911031
2500	20947	68.31527188
2000	21711	65.91128921
1500	22758	62.87898761
1000	23554	60.75401206
500	24021	59.57287374
