# Workload	Elasped time K40-980	Speedup K40-980
15000	97028	14.74832007
14500	87974	16.26616955
14000	85587	16.71982895
13500	77413	18.48526733
13000	46667	30.66406669
12500	54276	26.36524431
12000	56244	25.44271389
11500	47468	30.14662509
11000	41904	34.14948454
10500	39695	36.04988034
10000	40349	35.46556296
9500	33559	42.64131828
9000	32887	43.51263417
8500	29824	47.98149142
8000	27892	51.3050337
7500	26143	54.73740581
7000	26502	53.99592484
6500	28272	50.61544992
6000	30313	47.20746874
5500	31954	44.78312574
5000	31074	46.05136127
4500	35373	40.454584
4000	37013	38.6620917
3500	38745	36.93379791
3000	40423	35.40063825
2500	42508	33.66425144
2000	44783	31.95408972
1500	46089	31.04862332
1000	48573	29.46081156
500	50877	28.12665841
0	50583	28.290137
