# Workload	Elasped time K40-980-980	Speedup K40-980-980
15000	97028	14.74832007
14500	89011	16.07666468
14000	83304	17.17804667
13500	74343	19.24861789
13000	46178	30.98878254
12500	55863	25.61623973
12000	54814	26.10646915
11500	46610	30.70156619
11000	41506	34.47694309
10500	39154	36.54798999
10000	40067	35.71517708
9500	33233	43.05960942
9000	32556	43.95503133
8500	29393	48.68506107
8000	27314	52.39071538
7500	25422	56.28982771
7000	26013	55.01095606
6500	27664	51.72787739
6000	29330	48.78963519
5500	30790	46.47612861
5000	29861	47.92203878
4500	34054	42.02149527
4000	35657	40.13237233
3500	37319	38.34507891
3000	38970	36.72055427
2500	40932	34.96042216
2000	42851	33.39478659
1500	44373	32.24934082
1000	46527	30.75633503
500	48805	29.32076631
0	50583	28.290137
