# Workload	Elasped time K40-980-980	Speedup K40-980-980
14500	89033	16.07269215
14000	83342	17.1702143
13500	74482	19.21269568
13000	46141	31.01363213
12500	55861	25.61715687
12000	54903	26.0641495
11500	46666	30.66472378
11000	41576	34.41889552
10500	39233	36.47439655
10000	40115	35.67244173
9500	33240	43.05054152
9000	32540	43.97664413
8500	29388	48.69334422
8000	27288	52.44063325
7500	25364	56.41854597
7000	24087	59.40964005
6500	22197	64.46817137
6000	20490	69.83894583
5500	17678	80.94807105
5000	17650	81.07648725
4500	17524	81.65943848
4000	18680	76.60599572
3500	19415	73.7058975
3000	20463	69.93109515
2500	21177	67.57331067
2000	21925	65.26795895
1500	22856	62.60938047
1000	24081	59.42444251
500	24364	58.734198
